fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01105,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01107,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01109,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01111,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01113,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01115,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01117,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01119,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01121,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01123,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01125,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01127,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01129,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01131,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
01133,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04001,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04003,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04005,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04007,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04009,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04011,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04012,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04013,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04015,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04017,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04019,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04021,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04023,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04025,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
04027,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05001,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05003,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05005,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05007,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05009,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05011,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05013,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05015,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05017,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05019,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05021,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05023,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05025,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05027,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05029,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05031,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05033,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05035,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05037,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05039,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05041,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05043,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05045,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
05047,79.75,80.2,79.95,80.8,80.5,80.3,81.5,82.25,76.75,73.7,75.65,76.6,78.5,90.8,169.0,196.5,152.0,147.75,152.5,189.0,245.5,238.5,221.5,210.75,219.5,199.0,186.0,200.0,221.5,216.5,203.0,214.0,200.0,189.0,213.5,234.0,258.0,257.0,253.0,255.0,233.0,236.0,221.0,243.0,266.0,299.0,324.0,418.0,800.0,639.0,507.0,633.0,729.0,701.0,621.0,587.62,474.47,451.37,524.32,474.68,428.86,744.37,958.21
