fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
20205,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
20207,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
20209,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21001,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21003,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21005,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21007,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21009,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21011,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21013,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21015,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21017,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21019,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21021,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21023,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21025,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21027,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21029,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21031,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21033,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21035,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21037,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21039,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21041,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21043,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21045,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21047,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21049,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21051,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21053,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21055,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21057,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21059,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21061,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21063,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21065,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21067,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21069,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21071,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21073,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21075,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21077,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21079,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21081,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21083,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21085,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21087,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21089,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21091,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21093,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21095,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21097,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21099,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
21101,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
