fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16031,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16033,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16035,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16037,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16039,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16041,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16043,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16045,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16047,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16049,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16051,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16053,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16055,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16057,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16059,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16061,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16063,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16065,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16067,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16069,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16071,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16073,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16075,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16077,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16079,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16081,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16083,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16085,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
16087,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17001,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17003,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17005,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17007,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17009,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17011,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17013,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17015,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17017,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17019,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17021,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17023,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17025,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17027,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17029,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17031,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17033,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17035,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17037,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17039,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17041,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17043,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17045,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17047,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17049,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17051,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17053,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17055,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
17057,,,,,,,109.0,108.0,98.1,93.05,94.75,95.2,98.05,114.0,204.5,239.5,183.0,183.75,186.25,230.5,288.25,272.5,257.0,245.25,259.5,234.25,214.5,225.5,248.5,237.0,223.5,231.5,214.0,195.5,226.5,263.0,294.0,272.0,264.0,264.0,240.0,244.0,227.0,250.0,276.0,303.0,337.0,442.0,850.0,638.0,508.0,703.0,675.0,640.0,611.0,575.93,465.04,442.4,513.89,465.24,420.33,729.57,939.15
