fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18135,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18137,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18139,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18141,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18143,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18145,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18147,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18149,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18151,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18153,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18155,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18157,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18159,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18161,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18163,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18165,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18167,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18169,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18171,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18173,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18175,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18177,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18179,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18181,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
18183,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19001,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19003,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19005,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19007,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19009,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19011,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19013,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19015,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19017,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19019,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19021,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19023,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19025,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19027,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19029,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19031,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19033,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19035,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19037,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19039,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19041,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19043,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19045,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19047,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
19049,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
